label,benchmark,input_len,output_len,concurrency,ttft_s,decode_tps,total_lat_s,output_tps,req_tps,avg_lat_s,p50_lat_s,p99_lat_s,mean_ttft_s
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,throughput,1024,512,4,19.3027,81.68,NA,81.68,0.1863,19.3027,22.6402,23.1113,19.3027
rocm700_20260319_triton_tp8_mem0.90_cp0_cgon_fmla0_lpm,throughput,1024,512,8,26.4927,102.54,NA,102.54,0.2558,26.4927,26.7948,35.7598,26.4927
rocm700_20260319_triton_tp8_mem0.90_cp65536_cgon_fmla0_lpm,latency,1024,512,1,3.1261,33.87,18.2152
rocm700_20260319_triton_tp8_mem0.90_cp65536_cgon_fmla0_lpm,latency,1024,1024,1,1.581,35.48,27.1982
rocm700_20260319_triton_tp8_mem0.90_cp65536_cgon_fmla0_lpm,latency,8192,512,1,5.7099,23.49,27.4668
rocm700_20260319_triton_tp8_mem0.90_cp65536_cgon_fmla0_lpm,latency,8192,1024,1,5.5295,23.45,49.1515
rocm700_20260319_triton_tp8_mem0.90_cp65536_cgon_fmla0_lpm,latency,16384,512,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp65536_cgon_fmla0_lpm,latency,16384,1024,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp65536_crocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,latency,1024,512,1,3.3954,32.37,11.427
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,latency,1024,1024,1,1.7752,35.56,16.1997
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,latency,8192,512,1,5.611,23.58,24.9512
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,latency,8192,1024,1,5.7359,23.31,13.8428
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,latency,16384,512,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,latency,16384,1024,1,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,throughput,1024,512,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,throughput,1024,512,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,throughput,1024,512,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm700_20260319_triton_tp8_mem0.90_cp131072_cgon_fmla0_lpm,throughput,1024,512,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,latency,1024,512,1,1.3981,26.47,20.7011
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,latency,1024,1024,1,0.8352,26.34,39.6675
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,latency,8192,512,1,4.1653,19.48,30.3978
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,latency,8192,1024,1,4.1971,19.37,21.9528
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,latency,16384,512,1,9.9836,15.19,43.5561
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,latency,16384,1024,1,10.0141,15.14,77.5671
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,throughput,1024,512,1,17.1289,25.56,NA,25.56,0.0584,17.1289,19.9277,19.9685,17.1289
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,throughput,1024,512,2,15.9104,47.73,NA,47.73,0.1184,15.9104,19.9032,20.4112,15.9104
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,throughput,1024,512,4,20.9924,72.0,NA,72.0,0.1662,20.9924,24.9116,25.3826,20.9924
rocm720_20260320_triton_tp8_mem0.80_cp0_cgon_fmla0_lpm,throughput,1024,512,8,34.351,106.58,NA,106.58,0.2208,34.351,36.5076,36.5286,34.351
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,latency,1024,512,1,1.3698,26.53,20.6304
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,latency,1024,1024,1,0.8333,26.39,39.5985
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,latency,8192,512,1,4.0319,19.47,30.2255
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,latency,8192,1024,1,3.8504,19.33,20.352
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,latency,16384,512,1,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,latency,16384,1024,1,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,throughput,1024,512,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,throughput,1024,512,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,throughput,1024,512,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp65536_cgon_fmla0_lpm,throughput,1024,512,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp131072_cgon_fmla0_lpm,latency,1024,512,1,1.6065,26.5,20.8925
rocm720_20260320_triton_tp8_mem0.80_cp131072_cgon_fmla0_lpm,latency,1024,1024,1,0.5982,26.37,13.9092
rocm720_20260320_triton_tp8_mem0.80_cp131072_cgon_fmla0_lpm,latency,8192,512,1,4.0392,19.48,30.2661
rocm720_20260320_triton_tp8_mem0.80_cp131072_cgon_fmla0_lpm,latency,8192,1024,1,3.8349,19.45,13.76
rocm720_20260320_triton_tp8_mem0.80_cp131072_cgon_fmla0_lpm,latency,16384,512,1,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.80_cp131072_cgon_fmla0_lpm,latency,16384,1024,1,NA,NA,NA
rocm720_20260320_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,latency,1024,512,1,1.3867,26.46,20.7011
rocm720_20260320_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,latency,1024,1024,1,0.5971,26.32,7.5873
rocm720_20260320_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,latency,8192,512,1,4.1759,19.4,30.4087
rocm720_20260320_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,latency,8192,1024,1,4.1742,19.42,56.8516
rocm720_20260320_triton_tp8_mem0.85_cp0_cgon_fmla0_lpm,latency,16384,512,1,9.9525,15.1,25.3195
